,bodyPart,equipment,gifUrl,id,name,target
242,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0697.gif,0697,self assisted inverse leg curl,hamstrings
243,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1766.gif,1766,self assisted inverse leg curl,hamstrings
244,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0696.gif,0696,self assisted inverse leg curl (on floor),hamstrings
245,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3222.gif,3222,semi squat jump (male),cardiovascular system
246,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3656.gif,3656,short stride run,cardiovascular system
247,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1763.gif,1763,shoulder grip pull-up,lats
248,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3699.gif,3699,shoulder tap,abs
249,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0699.gif,0699,shoulder tap push-up,pectorals
250,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1774.gif,1774,side bridge hip abduction,abductors
251,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0705.gif,0705,side bridge v. 2,abs
252,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0709.gif,0709,side hip (on parallel bars),abs
253,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0710.gif,0710,side hip abduction,abductors
254,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1358.gif,1358,side lying floor stretch,lats
255,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3667.gif,3667,side lying hip adduction (male),adductors
